City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constantine,36.365,6.6147,0.67,93,20,1.03,DZ,"02/13/23,04:23:10"
1,dankov,53.2515,39.1555,-12.38,97,65,2.86,RU,"02/13/23,04:23:11"
2,linhares,-19.3911,-40.0722,22.45,96,100,1.05,BR,"02/13/23,04:23:11"
3,katsuura,35.1333,140.3,11.01,92,100,6.64,JP,"02/13/23,04:23:12"
4,shimanovsk,52.0,127.7,-10.41,69,91,5.8,RU,"02/13/23,04:23:12"
5,tuktoyaktuk,69.4541,-133.0374,-39.0,67,20,1.54,CA,"02/13/23,04:23:13"
6,bubaque,11.2833,-15.8333,23.7,71,11,6.99,GW,"02/13/23,04:23:13"
7,butaritari,3.0707,172.7902,26.61,83,67,7.1,KI,"02/13/23,04:23:14"
8,bathsheba,13.2167,-59.5167,25.34,69,75,10.29,BB,"02/13/23,04:23:15"
9,chuy,-33.6971,-53.4616,23.33,72,0,5.73,UY,"02/13/23,04:23:15"
10,mar del plata,-38.0023,-57.5575,21.72,100,100,7.72,AR,"02/13/23,04:21:55"
11,hobart,-42.8794,147.3294,19.59,52,75,5.66,AU,"02/13/23,04:13:32"
12,eureka,40.8021,-124.1637,7.74,93,6,0.45,US,"02/13/23,04:22:17"
13,sao gabriel da cachoeira,-0.1303,-67.0892,22.96,98,100,0.33,BR,"02/13/23,04:23:16"
14,ust-koksa,50.2696,85.6108,-11.06,88,81,0.99,RU,"02/13/23,04:21:22"
15,paamiut,61.994,-49.6678,-21.31,92,46,5.53,GL,"02/13/23,04:23:17"
16,albany,42.6001,-73.9662,0.4,74,100,1.05,US,"02/13/23,04:22:50"
17,dunedin,-45.8742,170.5036,18.54,73,19,7.79,NZ,"02/13/23,04:23:18"
18,thunder bay,48.4001,-89.3168,-4.01,93,75,1.03,CA,"02/13/23,04:21:50"
19,vaini,-21.2,-175.2,29.09,79,75,2.57,TO,"02/13/23,04:23:18"
20,misratah,32.3754,15.0925,13.01,65,88,2.04,LY,"02/13/23,04:23:19"
21,esperance,-33.8667,121.9,23.79,50,0,5.3,AU,"02/13/23,04:23:19"
22,rikitea,-23.1203,-134.9692,26.15,65,18,1.11,PF,"02/13/23,04:20:29"
23,troitskoye,52.9821,84.6757,-11.64,91,100,3.07,RU,"02/13/23,04:23:20"
24,yellowknife,62.456,-114.3525,-18.71,84,75,3.6,CA,"02/13/23,04:23:21"
25,norman wells,65.282,-126.8329,-23.98,77,100,3.6,CA,"02/13/23,04:23:21"
26,ushuaia,-54.8,-68.3,8.81,57,75,3.6,AR,"02/13/23,04:21:37"
27,orai,25.9833,79.4667,17.16,19,0,6.85,IN,"02/13/23,04:23:22"
28,georgetown,5.4112,100.3354,29.97,78,20,2.57,MY,"02/13/23,04:19:47"
29,santa cruz,-17.8,-63.1667,24.7,94,40,5.14,BO,"02/13/23,04:23:22"
30,hermanus,-34.4187,19.2345,19.95,79,0,2.78,ZA,"02/13/23,04:23:23"
31,havoysund,70.9963,24.6622,3.13,83,100,14.63,NO,"02/13/23,04:23:23"
32,viytivka,48.426,29.5429,-4.55,86,42,3.4,UA,"02/13/23,04:23:24"
33,guaratinga,-16.5667,-39.5667,20.59,97,9,0.58,BR,"02/13/23,04:23:24"
34,east london,-33.0153,27.9116,22.52,94,40,5.66,ZA,"02/13/23,04:23:25"
35,ponta do sol,32.6667,-17.1,17.23,63,26,2.45,PT,"02/13/23,04:23:25"
36,lata,40.1629,-8.3327,13.78,71,79,2.99,PT,"02/13/23,04:23:26"
37,hilo,19.7297,-155.09,20.16,94,20,4.63,US,"02/13/23,04:23:26"
38,komsomolskiy,40.4272,71.7189,0.4,69,100,2.06,UZ,"02/13/23,04:23:27"
39,mataura,-46.1927,168.8643,19.15,32,20,1.83,NZ,"02/13/23,04:23:27"
40,punta arenas,-53.15,-70.9167,6.06,70,40,6.17,CL,"02/13/23,04:19:26"
41,potanino,55.1786,61.6222,-19.87,92,91,2.0,RU,"02/13/23,04:23:28"
42,lavrentiya,65.5833,-171.0,-24.55,92,100,2.64,RU,"02/13/23,04:23:29"
43,broken hill,-31.95,141.4333,25.89,21,13,6.24,AU,"02/13/23,04:23:29"
44,luderitz,-26.6481,15.1594,16.53,87,2,1.2,NA,"02/13/23,04:23:30"
45,elizabeth city,36.2946,-76.2511,9.0,95,100,6.69,US,"02/13/23,04:23:30"
46,iqaluit,63.7506,-68.5145,-34.06,66,0,6.17,CA,"02/13/23,04:23:31"
47,follonica,42.9263,10.7616,9.17,66,0,3.39,IT,"02/13/23,04:23:25"
48,saskylakh,71.9167,114.0833,-27.99,97,100,5.27,RU,"02/13/23,04:23:31"
49,provideniya,64.3833,-173.3,-23.94,58,75,5.0,RU,"02/13/23,04:23:32"
50,cherskiy,68.75,161.3,-38.16,98,94,0.92,RU,"02/13/23,04:23:32"
51,port alfred,-33.5906,26.891,21.21,98,93,3.94,ZA,"02/13/23,04:23:33"
52,maningrida,-12.0667,134.2667,25.5,92,100,3.01,AU,"02/13/23,04:23:34"
53,dikson,73.5069,80.5464,-10.77,93,100,11.48,RU,"02/13/23,04:23:35"
54,castro,-24.7911,-50.0119,17.26,97,100,2.18,BR,"02/13/23,04:23:35"
55,tabuk,17.4189,121.4443,27.83,56,26,2.0,PH,"02/13/23,04:23:36"
56,busselton,-33.65,115.3333,28.47,33,0,3.3,AU,"02/13/23,04:23:36"
57,nanortalik,60.1432,-45.2371,-7.6,68,100,6.24,GL,"02/13/23,04:20:45"
58,kapaa,22.0752,-159.319,26.99,85,40,9.77,US,"02/13/23,04:23:06"
59,hokitika,-42.7167,170.9667,21.85,50,0,3.56,NZ,"02/13/23,04:23:37"
60,port elizabeth,-33.918,25.5701,21.17,88,0,3.6,ZA,"02/13/23,04:23:37"
61,vila franca do campo,37.7167,-25.4333,14.23,85,100,4.7,PT,"02/13/23,04:23:38"
62,mandsaur,24.0667,75.0667,17.98,19,0,3.9,IN,"02/13/23,04:23:38"
63,honningsvag,70.9821,25.9704,2.86,81,75,10.8,NO,"02/13/23,04:23:38"
64,new norfolk,-42.7826,147.0587,19.72,55,90,1.34,AU,"02/13/23,04:23:39"
65,qaanaaq,77.484,-69.3632,-31.17,94,100,1.9,GL,"02/13/23,04:23:39"
66,lima,-12.0432,-77.0282,24.94,80,0,4.12,PE,"02/13/23,04:13:12"
67,black river,18.0264,-77.8487,22.97,81,29,1.6,JM,"02/13/23,04:23:40"
68,tasiilaq,65.6145,-37.6368,-5.91,69,100,5.45,GL,"02/13/23,04:23:40"
69,kenora,49.8167,-94.4337,-3.46,86,0,3.09,CA,"02/13/23,04:23:41"
70,gravelbourg,49.8834,-106.5512,-0.85,84,80,4.75,CA,"02/13/23,04:23:42"
71,bengkulu,-3.8004,102.2655,28.46,63,99,3.83,ID,"02/13/23,04:23:43"
72,udachnyy,66.4167,112.4,-22.4,96,100,3.83,RU,"02/13/23,04:23:43"
73,inuvik,68.3499,-133.7218,-31.52,75,100,1.03,CA,"02/13/23,04:23:44"
