City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,allapalli,19.4167,80.0667,15.81,25,0,1.02,IN,"02/14/23,23:23:58"
1,upernavik,72.7868,-56.1549,-28.51,93,100,2.51,GL,"02/14/23,23:20:00"
2,vaini,-21.2,-175.2,26.09,100,75,2.57,TO,"02/14/23,23:23:59"
3,hualmay,-11.0964,-77.6139,23.45,83,98,2.03,PE,"02/14/23,23:23:59"
4,mocuba,-16.8392,36.9856,23.47,94,95,1.54,MZ,"02/14/23,23:24:00"
5,yellowknife,62.456,-114.3525,-24.69,84,20,4.63,CA,"02/14/23,23:24:00"
6,kapaa,22.0752,-159.319,26.99,70,20,10.29,US,"02/14/23,23:24:01"
7,jamestown,42.097,-79.2353,8.8,29,0,3.09,US,"02/14/23,23:24:01"
8,atuona,-9.8,-139.0333,26.26,72,3,7.65,PF,"02/14/23,23:24:02"
9,rikitea,-23.1203,-134.9692,26.34,68,100,2.26,PF,"02/14/23,23:24:03"
10,hobart,-42.8794,147.3294,20.7,65,100,0.89,AU,"02/14/23,23:10:07"
11,cabo san lucas,22.8909,-109.9124,23.17,47,20,2.68,MX,"02/14/23,23:24:04"
12,new norfolk,-42.7826,147.0587,20.95,47,100,1.79,AU,"02/14/23,23:24:04"
13,busselton,-33.65,115.3333,15.77,80,91,1.61,AU,"02/14/23,23:24:05"
14,arraial do cabo,-22.9661,-42.0278,25.98,83,40,2.06,BR,"02/14/23,23:24:06"
15,qaanaaq,77.484,-69.3632,-30.49,89,100,2.15,GL,"02/14/23,23:24:06"
16,san patricio,28.017,-97.5169,30.97,15,1,3.6,US,"02/14/23,23:24:07"
17,mataura,-46.1927,168.8643,19.6,51,57,2.29,NZ,"02/14/23,23:24:08"
18,ushuaia,-54.8,-68.3,4.81,75,40,8.75,AR,"02/14/23,23:22:26"
19,leshukonskoye,64.8989,45.7622,-19.93,100,65,1.56,RU,"02/14/23,23:24:08"
20,chuy,-33.6971,-53.4616,23.36,80,100,1.61,UY,"02/14/23,23:24:09"
21,kudahuvadhoo,2.6708,72.8944,26.82,77,17,5.49,MV,"02/14/23,23:24:10"
22,khatanga,71.9667,102.5,-16.14,95,100,4.84,RU,"02/14/23,23:24:10"
23,srebrenica,44.1064,19.2969,0.17,90,84,1.02,BA,"02/14/23,23:24:11"
24,georgetown,5.4112,100.3354,24.97,94,20,1.03,MY,"02/14/23,23:13:34"
25,avarua,-21.2078,-159.775,30.03,79,20,3.09,CK,"02/14/23,23:24:12"
26,aden,12.7794,45.0367,24.28,74,26,7.96,YE,"02/14/23,23:24:12"
27,narsaq,60.9167,-46.05,-11.88,88,3,3.08,GL,"02/14/23,23:24:13"
28,naze,28.3667,129.4833,11.51,82,100,5.71,JP,"02/14/23,23:24:14"
29,mahebourg,-20.4081,57.7,25.16,83,40,2.06,MU,"02/14/23,23:24:15"
30,dikson,73.5069,80.5464,-15.73,95,100,6.82,RU,"02/14/23,23:24:16"
31,chokurdakh,70.6333,147.9167,-41.67,100,98,0.66,RU,"02/14/23,23:24:16"
32,kimparana,12.8347,-4.9244,27.81,15,33,3.95,ML,"02/14/23,23:24:17"
33,carnarvon,-24.8667,113.6333,23.01,74,98,7.04,AU,"02/14/23,23:24:18"
34,vila franca do campo,37.7167,-25.4333,9.23,69,69,1.14,PT,"02/14/23,23:24:19"
35,goksun,38.021,36.4973,-12.81,73,58,2.52,TR,"02/14/23,23:24:20"
36,aklavik,68.2191,-135.0107,-33.0,75,20,1.03,CA,"02/14/23,23:24:20"
37,cape town,-33.9258,18.4232,21.05,84,20,8.23,ZA,"02/14/23,23:22:30"
38,mecca,21.4267,39.8261,19.37,65,4,2.77,SA,"02/14/23,23:24:21"
39,talnakh,69.4865,88.3972,-16.55,95,100,4.24,RU,"02/14/23,23:24:22"
40,zhicheng,30.2956,111.5047,2.51,74,7,0.06,CN,"02/14/23,23:24:22"
41,juye,35.3947,116.0883,-0.99,55,6,1.66,CN,"02/14/23,23:24:23"
42,saint anthony,45.0205,-93.218,3.96,94,100,6.17,US,"02/14/23,23:24:23"
43,tiksi,71.6872,128.8694,-27.84,97,97,2.94,RU,"02/14/23,23:24:24"
44,ilulissat,69.2167,-51.1,-29.99,52,12,1.03,GL,"02/14/23,23:24:24"
45,punta arenas,-53.15,-70.9167,8.06,66,75,7.72,CL,"02/14/23,23:24:15"
46,anderson,34.5334,-82.6499,19.49,41,0,3.6,US,"02/14/23,23:19:29"
47,bluff,-46.6,168.3333,17.08,70,7,5.65,NZ,"02/14/23,23:24:25"
48,klaksvik,62.2266,-6.589,8.51,96,100,14.45,FO,"02/14/23,23:24:26"
49,thompson,55.7435,-97.8558,-20.91,65,20,2.57,CA,"02/14/23,23:23:58"
50,margate,51.3813,1.3862,6.5,92,40,0.89,GB,"02/14/23,23:24:27"
51,uhlove,44.8215,33.6045,3.34,83,98,6.95,UA,"02/14/23,23:24:28"
52,codrington,-38.2667,141.9667,22.73,36,100,3.86,AU,"02/14/23,23:24:28"
53,svetlogorsk,52.6333,29.7333,-2.52,91,82,4.7,BY,"02/14/23,23:24:29"
54,ambilobe,-13.2,49.05,22.38,95,26,0.96,MG,"02/14/23,23:24:29"
55,east london,-33.0153,27.9116,24.75,92,70,2.13,ZA,"02/14/23,23:24:30"
56,saldanha,-33.0117,17.9442,18.03,89,0,9.08,ZA,"02/14/23,23:24:31"
57,hilo,19.7297,-155.09,26.73,74,0,7.72,US,"02/14/23,23:24:31"
58,jasper,37.2001,-94.3502,14.57,55,100,10.8,US,"02/14/23,23:21:51"
59,chapada dos guimaraes,-15.4606,-55.7497,25.81,59,39,2.52,BR,"02/14/23,23:24:32"
60,albany,42.6001,-73.9662,6.3,57,4,1.28,US,"02/14/23,23:24:33"
61,puerto ayora,-0.7393,-90.3518,26.97,91,61,1.34,EC,"02/14/23,23:24:34"
62,vega de alatorre,20.0333,-96.6333,25.05,73,0,5.2,MX,"02/14/23,23:24:34"
63,luderitz,-26.6481,15.1594,17.93,80,0,6.11,NA,"02/14/23,23:24:35"
64,saskylakh,71.9167,114.0833,-18.36,97,100,2.22,RU,"02/14/23,23:24:36"
65,lebu,-37.6167,-73.65,16.54,77,68,6.39,CL,"02/14/23,23:24:36"
66,hithadhoo,-0.6,73.0833,27.1,72,8,3.66,MV,"02/14/23,23:24:37"
67,lavrentiya,65.5833,-171.0,-25.85,88,99,3.2,RU,"02/14/23,23:24:38"
68,san ramon,37.7799,-121.978,11.56,59,40,8.23,US,"02/14/23,23:24:05"
69,alpena,45.0617,-83.4327,7.14,78,0,3.6,US,"02/14/23,23:24:38"
70,port alfred,-33.5906,26.891,22.32,96,100,1.79,ZA,"02/14/23,23:24:39"
71,sinnamary,5.3833,-52.95,24.8,91,98,4.88,GF,"02/14/23,23:24:39"
72,malko tarnovo,41.9833,27.5333,0.67,85,15,2.72,BG,"02/14/23,23:24:40"
